,0,1,2,3,4,5
0,3/25/2024,Avalanche: Bonkers,Salt Lake,Skier,"12""",200'
1,3/25/2024,Avalanche: Gobblers Knob,Salt Lake,Skier,"10""",100'
2,3/25/2024,Avalanche: Main Days,Salt Lake,Skier,"18""",200'
3,3/25/2024,Avalanche: Ricardos,Salt Lake,Skier,2.5',100'
4,3/25/2024,Avalanche: Cardiff Fork,Salt Lake,Skier,"9""",50'
5,3/24/2024,Avalanche: Corkscrew Glades,Moab,Skier,"6""",50'
6,3/24/2024,Avalanche: Montreal Hill,Salt Lake,Snowboarder,"18""",35'
7,3/24/2024,Avalanche: Toots Suite,Salt Lake,Skier,"6""",30'
8,3/24/2024,Avalanche: Toots Suite,Salt Lake,Skier,"5""",30'
9,3/24/2024,Avalanche: Murdock Peak,Salt Lake,Skier,"12""",60'
10,3/24/2024,Avalanche: Montreal Hill,Salt Lake,Skier,"18""",30'
11,3/24/2024,Avalanche: Thomas Fork,Salt Lake,Skier,"10""",200'
12,3/24/2024,Avalanche: Toots to Boot,Salt Lake,Natural,"2""",50'
13,3/24/2024,Avalanche: west porter,Salt Lake,Skier,"4""",200'
14,3/24/2024,Avalanche: Maybird Gulch,Salt Lake,Natural,"5""",
15,3/24/2024,Avalanche: west porter,Salt Lake,Snowboarder,"6""",50'
16,3/24/2024,Avalanche: Weber Canyon,Uintas,Other,"14""",80'
17,3/24/2024,Avalanche: White Pine Creek,Logan,Snowboarder,"7""",70'
18,3/24/2024,Avalanche: Yellow Jacket,Salt Lake,Skier,,15'
19,3/24/2024,Avalanche: Murdock Peak,Salt Lake,Skier,"10""",35'
20,3/24/2024,Avalanche: Reynolds Pk,Salt Lake,Skier,"6""",20'
21,3/24/2024,Avalanche: Gods Lawnmower,Salt Lake,Skier,"6""",10'
22,3/24/2024,Avalanche: Raymond Glade,Salt Lake,Skier,"8""",40'
23,3/24/2024,Avalanche: Alexander Basin,Salt Lake,Skier,,
24,3/23/2024,Avalanche: Chilly Peak Slabs,Ogden,Natural,,
25,3/21/2024,Avalanche: Blue Ice,Salt Lake,Natural,,50'
26,3/20/2024,Avalanche: Flagstaff Gully,Salt Lake,Natural,"14""",100'
27,3/19/2024,Avalanche: Grandfather Cornice,Logan,Natural,,150'
28,3/19/2024,Avalanche: Mineral Basin,Salt Lake,Natural,,
29,3/19/2024,Avalanche: American Fork,Provo,Unknown,,
30,3/18/2024,Avalanche: Chalk Creek,Uintas,Natural,,
31,3/18/2024,Avalanche: Mt Aire,Salt Lake,Snowboarder,,50'
32,3/17/2024,Avalanche: Oquirrh Mountains,Salt Lake,Natural,,
33,3/16/2024,Avalanche: Strawberry Ridge,Uintas,Snow Bike,2.5',250'
34,3/16/2024,Avalanche: Horse Creek Chutes,Moab,Natural,4',"1,500'"
35,3/16/2024,Avalanche: Mount Mellenthin,Moab,Natural,,
36,3/16/2024,Avalanche: Talking Mountain Cirque,Moab,Natural,,
37,3/16/2024,Avalanche: Broads Fork/Mill B,Salt Lake,Natural,"18""",150'
38,3/16/2024,Avalanche: Currant Creek Environs,Uintas,Unknown,4',150'
39,3/16/2024,Avalanche: Mt Tukuhnikivatz,Moab,Natural,2',450'
40,3/16/2024,Avalanche: Tuk NE Face,Moab,Natural,2',125'
41,3/16/2024,Avalanche: Talking Mt. Cirque,Moab,Natural,2',100'
42,3/16/2024,Avalanche: Snaggletooth Chutes,Moab,Natural,"18""",50'
43,3/16/2024,Avalanche: Lone Pine,Moab,Natural,"18""",50'
44,3/16/2024,Avalanche: East Hellgate,Salt Lake,Natural,,
45,3/16/2024,Avalanche: Middle Cirque,Moab,Natural,2',450'
46,3/16/2024,Avalanche: Little Superior,Salt Lake,Skier,"12""",35'
47,3/16/2024,Avalanche: Cleaver Chutes,Moab,Natural,"18""",
48,3/16/2024,Avalanche: Flagstaff Ridge,Salt Lake,Skier,"3""",10'
49,3/16/2024,Avalanche: Aspen Grove,Provo,Skier,"4""",100'
50,3/16/2024,Avalanche: Currant Creek Environs,Uintas,Unknown,4',150'
51,3/15/2024,Avalanche: Mt. Raymond,Salt Lake,Natural,,
52,3/15/2024,Avalanche: Davenport Hill,Salt Lake,Natural,"18""",50'
53,3/15/2024,Avalanche: Days Fork,Salt Lake,Skier,"5""",20'
54,3/15/2024,Avalanche: Wolverine Peak,Salt Lake,Snowboarder,2',40'
55,3/15/2024,Avalanche: Microwave,Salt Lake,Skier,"8""",80'
56,3/15/2024,Avalanche: Talking Mt. Cirque,Moab,Natural,,500'
57,3/15/2024,Avalanche: Hobble Creek Left Fork,Provo,Natural,"10""",20'
58,3/15/2024,Avalanche: Neffs,Salt Lake,Natural,"12""",30'
59,3/15/2024,Avalanche: Mill B South,Salt Lake,Skier,"15""",45'
60,3/14/2024,Avalanche: Neffs,Salt Lake,Skier,"6""",20'
61,3/14/2024,Avalanche: Superior,Salt Lake,Skier,"14""",35'
62,3/14/2024,Avalanche: Short Swing,Salt Lake,Skier,"6""",15'
63,3/13/2024,Avalanche: Greaseball,Salt Lake,Natural,"3""",30'
64,3/13/2024,Avalanche: Black Bess,Salt Lake,Skier,"10""",50'
65,3/13/2024,Avalanche: Emma Ridges,Salt Lake,Skier,"5""",20'
66,3/13/2024,Avalanche: Meadows,Salt Lake,Skier,"10""",50'
67,3/13/2024,Avalanche: Weber Canyon Environs,Uintas,Skier,"12""",40'
68,3/13/2024,Avalanche: west porter,Salt Lake,Natural,"10""",250'
69,3/13/2024,Avalanche: Twin Lakes area,Salt Lake,Skier,"18""",40'
70,3/13/2024,Avalanche: Grizzly Gulch,Salt Lake,Snowboarder,"8""",20'
71,3/13/2024,Avalanche: Uintas,Uintas,Natural,,
72,3/12/2024,Avalanche: Lawnmower Trees,Moab,Skier,"12""",25'
73,3/11/2024,Avalanche: Triangle Couloir,Salt Lake,Natural,,
74,3/10/2024,Avalanche: White Pine,Salt Lake,Skier,,
75,3/10/2024,Avalanche: Airplane Peak,Salt Lake,Skier,"5""",200'
76,3/10/2024,Avalanche: Cutler Ridge,Ogden,Skier,"4""",30'
77,3/10/2024,Avalanche: Bells Canyon,Salt Lake,Skier,2',100'
78,3/10/2024,Avalanche: Big Willow,Salt Lake,Skier,"12""",60'
79,3/9/2024,Avalanche: Limber Pine,Salt Lake,Snowboarder,2',50'
80,3/9/2024,Avalanche: Red Baldy,Salt Lake,Skier,"6""",20'
81,3/9/2024,Avalanche: Gooseberry,Southwest,Snowmobiler,2',50'
82,3/9/2024,Avalanche: Brighton Perimeter,Salt Lake,Natural,,
83,3/9/2024,Avalanche: La Sal Mountains,Moab,Natural,"12""",45'
84,3/8/2024,Avalanche: Blacks Fork,Uintas,Natural,"8""",50'
85,3/8/2024,Avalanche: Indian Creek,Skyline,Snowmobiler,2',50'
86,3/8/2024,Accident: Midnight Lake,Logan,Snowmobiler,3',175'
87,3/8/2024,Avalanche: Upper Weber Canyon,Uintas,Natural,,
88,3/8/2024,Avalanche: Brighton Perimeter,Salt Lake,Unknown,,
89,3/8/2024,Avalanche: Lake Peak,Salt Lake,Snowboarder,"4""",40'
90,3/8/2024,Avalanche: Cardiac Ridge,Salt Lake,Skier,"12""",45'
